firm,ticker,date,t_sub,direction,size,fill_price,pnl_1ms,pnl_10ms,pnl_50ms,pnl_100ms,pnl_250ms,pnl_500ms,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_1min,pnl_5min,pnl_30min
UBSS,AVAV,2026-03-13,57314.501779578,bid,10,207.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,4.6,4.6,4.4,1.4,1.4,-2.2
UBSS,AVAV,2026-03-13,57396.074354724,bid,100,207.10000000000002,27.0,27.0,27.0,27.0,27.0,29.5,29.5,29.5,29.5,32.0,27.0,18.0,34.0,18.0
UBSS,AVAV,2026-03-17,56753.068817683,ask,5,219.9,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.1,16.1,16.1,15.0,9.5,-19.5
UBSS,AVAV,2026-03-17,56753.068836307,ask,5,220.5,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.1,19.1,19.1,18.0,12.5,-16.5
UBSS,AVAV,2026-03-17,56753.069950033,ask,75,220.0,252.75,252.75,252.75,252.75,252.75,252.75,252.75,252.75,249.0,249.0,249.0,232.5,150.0,-285.0
UBSS,AVAV,2026-03-18,34201.556681573,bid,2,219.0,2.58,2.56,2.56,3.16,0.5,2.42,2.42,1.24,0.78,0.67,1.68,1.4,1.6,1.2
UBSS,AVAV,2026-03-18,34205.275272979,bid,5,218.0,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.0,6.6,8.5,9.0,8.7
UBSS,AVAV,2026-03-18,57384.38263791,bid,5,215.28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,1.55,2.1,0.25,-0.05
UBSS,AVAV,2026-03-19,34200.783034932,bid,33,208.57000000000002,30.03,20.79,20.79,20.79,20.79,17.49,14.19,-5.28,21.12,39.6,22.11,7.59,14.19,-15.51
UBSS,AVAV,2026-03-23,34201.488460092,bid,75,200.0,38.25,75.375,75.375,75.375,75.375,75.375,75.375,85.5,60.75,60.75,-81.0,-52.5,-34.5,213.75
UBSS,AVAV,2026-03-23,34201.488460092,bid,10,200.0,5.1,10.05,10.05,10.05,10.05,10.05,10.05,11.4,8.1,8.1,-10.8,-7.0,-4.6,28.5
UBSS,AVAV,2026-03-23,34201.488460092,bid,8,199.5,8.08,12.04,12.04,12.04,12.04,12.04,12.04,13.12,10.48,10.48,-4.64,-1.6,0.32,26.8
UBSS,AVAV,2026-03-23,34204.96532912,bid,10,198.9,22.4,22.4,22.4,22.4,22.4,22.4,22.4,19.1,19.1,14.3,0.2,-0.8,6.4,39.5
UBSS,AVAV,2026-03-23,34204.96532912,bid,3,198.77,7.11,7.11,7.11,7.11,7.11,7.11,7.11,6.12,6.12,4.68,0.45,0.15,2.31,12.24
UBSS,AVAV,2026-03-23,56947.818226701,ask,5,207.26000000000002,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.5,-1.15,1.7,6.3
UBSS,AVAV,2026-03-23,57214.394877151,ask,5,207.06,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,1.0,2.15,3.95
UBSS,AVAV,2026-03-23,57302.812343945,bid,22,206.8,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,3.08,-7.7,-12.54,-10.34,0.0
UBSS,AVAV,2026-03-24,56753.020755519,bid,10,196.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.9,7.9,9.9,9.6,6.6
UBSS,AVAV,2026-03-25,56748.030998779,bid,1,199.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.35,0.34,0.0
UBSS,AVAV,2026-03-27,34200.631337847,bid,27,191.95000000000002,5.94,5.94,5.94,5.94,5.94,5.94,2.7,2.7,-17.55,-17.82,14.58,9.99,13.5,-54.27
UBSS,AVAV,2026-03-27,34200.631337847,bid,30,191.5,20.1,20.1,20.1,20.1,20.1,20.1,16.5,16.5,-6.0,-6.3,29.7,24.6,28.5,-46.8
UBSS,AVAV,2026-03-27,34202.110336025,bid,10,191.0,10.5,10.5,10.5,10.5,10.5,10.5,5.4,9.1,0.6,6.3,14.9,13.2,14.5,-10.6
UBSS,AVAV,2026-03-27,56753.027177894,bid,2,184.4,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.82,0.81,0.62,0.0,0.08
UBSS,KTOS,2026-02-23,34204.694631324,bid,1,92.0,1.14,1.14,1.14,1.14,1.14,1.07,1.07,1.17,1.03,0.96,1.2,0.85,0.05,1.55
UBSS,KTOS,2026-02-23,34207.969511076,bid,16,91.31,29.76,29.76,29.76,27.52,27.52,27.52,27.52,27.52,26.4,32.16,30.24,27.04,16.64,36.8
UBSS,KTOS,2026-02-24,34200.485995949,bid,10,87.68,3.2,3.2,2.7,-0.8,-2.7,-3.6,-5.9,-10.6,-11.7,-13.3,-33.0,-27.7,-9.8,-6.5
